restaurant_id,restaurant_name,restaurant_url,review_count,price,rating,phone,address,zipcode
JZUTavw4SsZ-iiExULq1_g,Lobstah On A Roll,https://www.yelp.com/biz/lobstah-on-a-roll-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,22,$$,4.5,16174312284,254 Newbury St,02116
DGlk1nTaaRE6uJFJbKv45A,City Table,https://www.yelp.com/biz/city-table-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,289,$$,3.5,16179334800,65 Exeter St,02116
iQtGgTuPT7Zb_AHtLxl5sw,Taqueria Jalisco,https://www.yelp.com/biz/taqueria-jalisco-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,315,$,4.5,16175676367,291 Bennington St,02128
y2w6rFaO0XEiG5mFfOsiFA,Neptune Oyster,https://www.yelp.com/biz/neptune-oyster-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,5008,$$$,4.5,16177423474,63 Salem St,02113
OLQKQ6jp3Tzrr9-r7EU_fg,Moe's Southwest Grill,https://www.yelp.com/biz/moes-southwest-grill-waltham?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,88,$,3.0,17817886637,831 Main St,02451
D3EMZKhkRqUQya20IGv7lg,Rod Thai Family Taste,https://www.yelp.com/biz/rod-thai-family-taste-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,391,$,4.0,16178590969,94 Peterborough St,02215
_98MfEQ67r9-V78gmy8_Pg,Grill 23 & Bar,https://www.yelp.com/biz/grill-23-and-bar-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,1026,$$$$,4.0,16175422255,161 Berkeley St,02116
xVJv__UZMNfW1O4oGUrvWw,Terramia Ristorante,https://www.yelp.com/biz/terramia-ristorante-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,427,$$$,4.0,16175233112,98 Salem St,02113
i9slSVVALR9WF2ej2o1jvw,Thai Place,https://www.yelp.com/biz/thai-place-allston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,181,$$,4.0,16177825732,184 Brighton Ave,02134
-pK1SR3blPDEzYKwXk4L5Q,Coda,https://www.yelp.com/biz/coda-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,600,$$,4.0,16175362632,329 Columbus Ave,02116
Yw1vQd5U5GB6ZPqn2buhBg,Pintxo Pincho Tapas Bar,https://www.yelp.com/biz/pintxo-pincho-tapas-bar-woburn?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,438,$$,4.5,17819321379,385 Main St,01801
yg1onzPFULGaEFT81CBmeQ,Seoul - Boston,https://www.yelp.com/biz/seoul-boston-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,269,$$,3.5,16179736680,156 Cambridge St,02114
pWyR94wFtrJtd8Y7Ix2sQw,Pagu,https://www.yelp.com/biz/pagu-cambridge?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,334,$$$,3.5,16179459290,310 Massachusetts Ave,02139
vNlwe5I5XRhdF4S8NZkz0w,Bonchon - Allston,https://www.yelp.com/biz/bonchon-allston-allston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,1068,$$,3.5,16172548888,123 Brighton Ave,02134
omw2RVtNoMJ-Eet6Tvl_IA,The Oceanaire Seafood Room,https://www.yelp.com/biz/the-oceanaire-seafood-room-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,667,$$$,4.0,16177422277,40 Court St,02108
Ii-aCAM4KG6RCvpMn0hOkg,King and I,https://www.yelp.com/biz/king-and-i-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,332,$$,3.5,16172273320,145 Charles St,02114
VH0Ib9S3E-dxbQdQC4rffg,Mistral,https://www.yelp.com/biz/mistral-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,948,$$$$,4.0,16178679300,223 Columbus Ave,02116
e54WzrGWxuQBlABMCfM3DQ,Mu Lan,https://www.yelp.com/biz/mu-lan-cambridge?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,308,$$,3.5,16174418813,228 Broadway,02139
xFEyKgGkgOycAsJvVsUzVw,Douzo,https://www.yelp.com/biz/douzo-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,1064,$$$,4.0,16178598886,131 Dartmouth St,02116
ScslTjcxi4ubXOBiLfCOmg,Trattoria Il Panino,https://www.yelp.com/biz/trattoria-il-panino-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,837,$$,4.0,16177201336,11 Parmenter St,02113
ly8RyiktGZwwVSAv6KZEtQ,Ocean Prime,https://www.yelp.com/biz/ocean-prime-boston-2?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,451,$$$,4.0,16176701345,140 Seaport Blvd,02210
poswq7BdLM9Iryd9palDVQ,SRV Boston,https://www.yelp.com/biz/srv-boston-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,408,$$$,4.5,16175369500,569 Columbus Ave,02118
WoI1IisL_AgmWdiJLRb-Zw,Democracy Brewing,https://www.yelp.com/biz/democracy-brewing-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,200,$$,4.0,18572638604,35 Temple Pl,02111
V5r0E89VSK0IDzZRvrhc3g,The Cheesecake Factory,https://www.yelp.com/biz/the-cheesecake-factory-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,683,$$,3.0,16173997777,115 Huntington Ave,02199
1C32E52HmhRC3GNwkX2nZg,Moonshine 152,https://www.yelp.com/biz/moonshine-152-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,359,$$,4.5,16177524191,152 Dorchester Ave,02127
aGYdF_fNHDhFCAnXoTCkGA,Boston Sail Loft,https://www.yelp.com/biz/boston-sail-loft-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,809,$$,4.0,16172277280,80 Atlantic Ave,02110
ez8T3NT5Icv2JFuUr_Qkfg,Table,https://www.yelp.com/biz/table-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,57,$$$$,4.5,18572504286,445 Hanover St,02113
bZhUufqdpg5qxsDKpIRv5A,Bar Mezzana,https://www.yelp.com/biz/bar-mezzana-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,326,$$$,4.5,16175301770,360 Harrison Ave,02118
qVNYCZi2ofv-oe293JsYkg,75 Chestnut,https://www.yelp.com/biz/75-chestnut-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,481,$$,4.0,16172272175,75 Chestnut St,02108
Ruq91rmQNweZ78TzKylQMg,Union Oyster House,https://www.yelp.com/biz/union-oyster-house-boston?adjust_creative=MEtw5bWj8rSYmFhJQQlmiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MEtw5bWj8rSYmFhJQQlmiw,2788,$$,3.5,16172272750,41 Union St,02108
